#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000209225.1	PRJNA19965	SAMN02953687	ABAV00000000.1	representative genome	45351	45351	Nematostella vectensis	strain=CH2 x CH6		latest	Scaffold	Major	Full	2007/08/22	ASM20922v1	DOE Joint Genome Institute (JGI)	GCA_000209225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/225/GCF_000209225.1_ASM20922v1		
GCF_000507365.1	PRJNA279932	SAMN02953824	ANCG00000000.1	representative genome	51031	51031	Necator americanus			latest	Scaffold	Major	Full	2013/12/20	N_ americanus_v1	The Genome Institute at Washington University	GCA_000507365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/507/365/GCF_000507365.1_N_americanus_v1		
GCF_000330985.1	PRJNA277936	SAMN02953808	AHIO00000000.1	representative genome	51655	51655	Plutella xylostella	strain=DBM-FZ-S		latest	Scaffold	Major	Full	2014/10/02	DBM_FJ_V1.1	Plutella xylostella genome consortium	GCA_000330985.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/985/GCF_000330985.1_DBM_FJ_V1.1		
GCF_001594055.1	PRJNA343251	SAMN03982884	LKFA00000000.1	representative genome	64791	64791	Trachymyrmex zeteki		Tzet28-1	latest	Scaffold	Major	Full	2016/03/31	Tzet1.0	BGI	GCA_001594055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/055/GCF_001594055.1_Tzet1.0		
GCF_000956235.1	PRJNA279179	SAMD00024919	BBSV00000000.1	representative genome	64793	64793	Wasmannia auropunctata		WASHAW1	latest	Scaffold	Major	Full	2015/03/17	wasmannia.A_1.0	Okinawa Institute of Science and Technology	GCA_000956235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/235/GCF_000956235.1_wasmannia.A_1.0		
GCF_000806365.1	PRJNA274979	SAMN03083650	JRKH00000000.1	representative genome	64838	64838	Fopius arisanus	strain=USDA-PBARC FA_bdor		latest	Scaffold	Major	Full	2014/12/23	ASM80636v1	USDA ARS	GCA_000806365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/806/365/GCF_000806365.1_ASM80636v1		
GCF_000836235.1	PRJNA291600	SAMD00018698	BBJE00000000.1	representative genome	66420	66420	Papilio xuthus			latest	Scaffold	Major	Full	2015/02/02	Pxut_1.0	Tokyo Institute of Technology	GCA_000836235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/235/GCF_000836235.1_Pxut_1.0		
GCF_000572035.2	PRJNA251518	SAMN02708865	AZMT00000000.2	representative genome	69319	69319	Microplitis demolitor	strain=Queensland-Clemson subculture		latest	Scaffold	Major	Full	2015/10/07	Mdem2	University of Illinois at Urbana-Champaign	GCA_000572035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/035/GCF_000572035.2_Mdem2		
GCF_000222465.1	PRJNA314803	SAMD00004206	BACK00000000.2	representative genome	70779	70779	Acropora digitifera			latest	Scaffold	Major	Full	2016/01/15	Adig_1.1	Okinawa Institute of Science and Technology	GCA_000222465.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/465/GCF_000222465.1_Adig_1.1		
GCF_001186125.1	PRJNA295933	SAMN02953786	AEOD00000000.1	representative genome	667725	72019	Sphaeroforma arctica JP610	strain=JP610		latest	Scaffold	Major	Full	2015/07/29	Spha_arctica_JP610_V1	Broad Institute	GCA_001186125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/125/GCF_001186125.1_Spha_arctica_JP610_V1		
GCF_001298355.1	PRJNA300299	SAMN03290678	LADJ00000000.1	representative genome	76193	76193	Papilio machaon		ya'a_city_454_Pm	latest	Scaffold	Major	Full	2015/09/28	Pap_ma_1.0	BGI	GCA_001298355.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/355/GCF_001298355.1_Pap_ma_1.0		
GCF_000836215.1	PRJNA291535	SAMD00018697	BBJD00000000.1	representative genome	76194	76194	Papilio polytes			latest	Scaffold	Major	Full	2015/02/02	Ppol_1.0	Tokyo Institute of Technology	GCA_000836215.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/215/GCF_000836215.1_Ppol_1.0		
GCF_000355655.1	PRJNA360270	SAMN01121785	APGK00000000.1	representative genome	77166	77166	Dendroctonus ponderosae			latest	Scaffold	Major	Full	2013/04/10	DendPond_male_1.0	The Tria Project: Mountain Pine Beetle System Genomics	GCA_000355655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/655/GCF_000355655.1_DendPond_male_1.0		
GCF_000648675.1	PRJNA298750	SAMN02649412	JHUN00000000.1	representative genome	79782	79782	Cimex lectularius	strain=Harlan	CLEC.00	latest	Scaffold	Major	Full	2014/05/01	Clec_1.0	The i5k Initiative	GCA_000648675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/675/GCF_000648675.1_Clec_1.0		
GCF_000002865.3	PRJNA28133	SAMN02953695	ABFJ00000000.1	representative genome	431895	81824	Monosiga brevicollis MX1	strain=MX1		latest	Scaffold	Major	Full	2007/12/20	V1.0	DOE Joint Genome Institute	GCA_000002865.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/865/GCF_000002865.3_V1.0		
GCF_000217595.1	PRJNA281950	SAMN02767796	ADOQ00000000.1	representative genome	83485	83485	Linepithema humile			latest	Scaffold	Major	Full	2011/06/10	Lhum_UMD_V04	The Ant Genomics Consortium	GCA_000217595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/595/GCF_000217595.1_Lhum_UMD_V04		
GCF_001313835.1	PRJNA301748	SAMN02869711	JPHQ00000000.1	representative genome	91411	91411	Polistes canadensis		GaletaPanama2010	latest	Scaffold	Major	Full	2015/10/13	ASM131383v1	CRG-Centre for Genomic Regulation	GCA_001313835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/313/835/GCF_001313835.1_ASM131383v1		
GCF_000204515.1	PRJNA271903	SAMN02953789	AEVX00000000.1	representative genome	103372	103372	Acromyrmex echinatior			latest	Scaffold	Major	Full	2011/05/03	Aech_3.9	Beijing Genomics Institute, Shenzhen	GCA_000204515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/515/GCF_000204515.1_Aech_3.9		
GCF_000147175.1	PRJNA274144	SAMN02953777	AEAB00000000.1	representative genome	104421	104421	Camponotus floridanus			latest	Scaffold	Major	Full	2010/09/17	CamFlo_1.0	BGI-Shenzhen, Shenzhen 518083, China	GCA_000147175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/175/GCF_000147175.1_CamFlo_1.0		
GCF_001188975.1	PRJNA293367	SAMN03840585	LGAM00000000.1	representative genome	104688	104688	Bactrocera oleae		Demokritus	latest	Scaffold	Major	Full	2015/07/29	gapfilled_joined_lt9474.gt500.covgt10	McGill University	GCA_001188975.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/188/975/GCF_001188975.1_gapfilled_joined_lt9474.gt500.covgt10		
GCF_001412225.1	PRJNA339573	SAMN03733533	LJCH00000000.1	representative genome	110193	110193	Nicrophorus vespilloides		i.1.1-1	latest	Scaffold	Major	Full	2015/10/23	Nicve_v1.0	University of Georgia	GCA_001412225.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/225/GCF_001412225.1_Nicve_v1.0		
GCF_000365465.1	PRJNA316108	SAMN02364452	AOMJ00000000.1	representative genome	114398	114398	Parasteatoda tepidariorum		Goettingen	latest	Scaffold	Major	Full	2013/09/27	Ptep_1.0	The i5k Initiative	GCA_000365465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/465/GCF_000365465.1_Ptep_1.0		
GCF_001937115.1	PRJNA361278	SAMN06036204	MRBJ00000000.1	representative genome	116153	116153	Aethina tumida		BRL-Maryland	latest	Contig	Major	Full	2017/01/05	Atum_1.0	Small Hive Beetle Consortium	GCA_001937115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/937/115/GCF_001937115.1_Atum_1.0		
GCF_000006295.1	PRJNA19807	SAMN02953682	AAZO00000000.1	representative genome	121224	121225	Pediculus humanus corporis	strain=USDA		latest	Scaffold	Major	Full	2007/04/23	JCVI_LOUSE_1.0	The human body louse genome consortium	GCA_000006295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/295/GCF_000006295.1_JCVI_LOUSE_1.0		
GCF_000475195.1	PRJNA251515	SAMN00100712	AWGM00000000.1	representative genome	121845	121845	Diaphorina citri			latest	Scaffold	Major	Full	2013/10/22	Diaci psyllid genome assembly version 1.1	International Psyllid Genome Consortium	GCA_000475195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/475/195/GCF_000475195.1_Diaci_psyllid_genome_assembly_version_1.1		
GCF_000233415.1	PRJNA325502	SAMN00714466	AFFD00000000.2	representative genome	125945	125945	Drosophila biarmipes			latest	Scaffold	Major	Full	2013/03/04	Dbia_2.0	Baylor College of Medicine	GCA_000233415.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/415/GCF_000233415.1_Dbia_2.0		
GCF_000188095.1	PRJNA70395	SAMN02953787	AEQM00000000.2	representative genome	132113	132113	Bombus impatiens			latest	Scaffold	Major	Full	2011/09/22	BIMP_2.0	Biotechnology Center, University of Illinois (BCUI)	GCA_000188095.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/095/GCF_000188095.1_BIMP_2.0		
GCF_000503995.1	PRJNA277475	SAMN02953852	ATAC00000000.1	representative genome	326594	142686	Ceratosolen solmsi marchali			latest	Scaffold	Major	Full	2013/12/04	CerSol_1.0	Ceratosolen solmsi Genome Consortium	GCA_000503995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/503/995/GCF_000503995.1_CerSol_1.0		
GCF_001186385.1	PRJNA310344	SAMN02693874	JOTR00000000.1	representative genome	143948	143948	Diuraphis noxia	strain=RWA2		latest	Scaffold	Major	Full	2015/07/23	Dnoxia_1.0	USDA-ARS, Stillwater, Oklahoma	GCA_001186385.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/385/GCF_001186385.1_Dnoxia_1.0		
GCF_000220905.1	PRJNA87021	SAMN02953795	AFJA00000000.1	representative genome	143995	143995	Megachile rotundata			latest	Scaffold	Major	Full	2011/07/19	MROT_1.0	University of Maryland	GCA_000220905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/905/GCF_000220905.1_MROT_1.0		
GCF_000187915.1	PRJNA276107	SAMN02953770	ADIH00000000.1	representative genome	144034	144034	Pogonomyrmex barbatus			latest	Scaffold	Major	Full	2011/02/04	Pbar_UMD_V03	The Ant Genomics Consortium	GCA_000187915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/915/GCF_000187915.1_Pbar_UMD_V03		
GCF_001652005.1	PRJNA340002	SAMN04252592	LSNX00000000.1	representative genome	156304	156304	Ceratina calcarata		Rehan_Ccalc_2016	latest	Scaffold	Major	Full	2016/05/25	ASM165200v1	University of New Hampshire	GCA_001652005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/005/GCF_001652005.1_ASM165200v1		
GCF_001853355.1	PRJNA351211	SAMN05727007	MIMC00000000.1	representative genome	174628	174628	Bactrocera latifrons		USDA-ARS-PBARC rearing strain	latest	Scaffold	Major	Full	2016/10/25	ASM185335v1	USDA-ARS	GCA_001853355.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/853/355/GCF_001853355.1_ASM185335v1		
GCF_001272555.1	PRJNA311229	SAMN03837760	LGHO00000000.1	representative genome	178035	178035	Dufourea novaeangliae		0120121106	latest	Scaffold	Major	Full	2015/08/21	ASM127255v1	BGI	GCA_001272555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/272/555/GCF_001272555.1_ASM127255v1		
GCF_000151315.2	PRJNA193613	SAMN02953747	ACFS00000000.2	representative genome	595528	192875	Capsaspora owczarzaki ATCC 30864	strain=ATCC 30864		latest	Scaffold	Major	Full	2013/06/25	C_owczarzaki_V2	Broad Institute	GCA_000151315.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/315/GCF_000151315.2_C_owczarzaki_V2		
GCF_000341935.1	PRJNA297591	SAMN02905554	AMWH00000000.1	representative genome	211228	211228	Cephus cinctus			latest	Scaffold	Major	Full	2014/07/09	Ccin1	University of Illinois at Urbana-Champaign	GCA_000341935.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/935/GCF_000341935.1_Ccin1		
GCF_000390285.1	PRJNA348318	SAMN02222868	AQHT00000000.1	representative genome	217634	217634	Anoplophora glabripennis			latest	Scaffold	Major	Full	2013/05/14	Agla_1.0	The i5k Initiative	GCA_000390285.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/285/GCF_000390285.1_Agla_1.0		
GCF_002006095.1	PRJNA377720	SAMN03219222	JWHX00000000.1	representative genome	219809	219809	Pseudomyrmex gracilis		BER0280	latest	Scaffold	Major	Full	2017/02/23	ASM200609v1	Field Museum of Natural History	GCA_002006095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/006/095/GCF_002006095.1_ASM200609v1		
GCF_000612105.1	PRJNA282746	SAMN02225314	AZGP00000000.1	representative genome	222816	222816	Orussus abietinus		OABI.00-Male	latest	Scaffold	Major	Full	2014/04/05	Oabi_1.0	The i5k Initiative	GCA_000612105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/105/GCF_000612105.1_Oabi_1.0		
GCF_000699045.1	PRJNA343475	SAMN02439909	JENH00000000.1	representative genome	224129	224129	Agrilus planipennis		EAB-ADULT	latest	Scaffold	Major	Full	2016/04/05	Apla_1.0	The BCM-HGSC i5K pilot project	GCA_000699045.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/045/GCF_000699045.1_Apla_1.0		
GCF_000327385.1	PRJNA259762	SAMN02769626	AMQO00000000.1	representative genome	225164	225164	Lottia gigantea			latest	Scaffold	Major	Full	2012/12/20	Helro1	DOE Joint Genome Institute	GCA_000327385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/385/GCF_000327385.1_Helro1		
GCF_000696795.1	PRJNA298780	SAMN02737379	JMPT00000000.1	representative genome	286706	286706	Halyomorpha halys		HHAL.00	latest	Scaffold	Major	Full	2014/06/03	Hhal_1.0	The i5k Initiative	GCA_000696795.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/795/GCF_000696795.1_Hhal_1.0		
GCF_000764305.1	PRJNA342675	SAMN02978968	JQDR00000000.2	representative genome	294128	294128	Hyalella azteca		HAZT.00-mixed	latest	Scaffold	Major	Full	2016/07/20	Hazt_2.0	Baylor College of Medicine	GCA_000764305.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/305/GCF_000764305.1_Hazt_2.0		
GCF_000980195.1	PRJNA285339	SAMD00020277	BBSX00000000.2	representative genome	307658	307658	Monomorium pharaonis		MPHARAONIS1.0.	latest	Scaffold	Major	Full	2015/04/22	M.pharaonis_V2.0	Ecology and Evolution Unit at the Okinawa Institute of Science and Technology	GCA_000980195.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/980/195/GCF_000980195.1_M.pharaonis_V2.0		
GCF_000090795.1	PRJNA66531	SAMN02743868	ACUQ00000000.1	representative genome	400682	400682	Amphimedon queenslandica			latest	Scaffold	Major	Full	2010/05/28	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000090795.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/795/GCF_000090795.1_v1.0		
GCF_000949405.1	PRJNA278668	SAMD00026325	BBUO00000000.1	representative genome	411798	411798	Vollenhovia emeryi		VEMERY1.0	latest	Scaffold	Major	Full	2015/03/06	V.emery_V1.0	Okinawa Institute of Science and Technology	GCA_000949405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/405/GCF_000949405.1_V.emery_V1.0		
GCF_001263575.1	PRJNA312506	SAMN03462046	LGIB00000000.1	representative genome	441921	441921	Neodiprion lecontei		Nlec_01	latest	Scaffold	Major	Full	2015/08/10	Nlec1.0	University of Kentucky	GCA_001263575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/575/GCF_001263575.1_Nlec1.0		
GCF_000611835.1	PRJNA275884	SAMN02428046	JASI00000000.1	representative genome	443821	443821	Cerapachys biroi			latest	Scaffold	Major	Full	2014/04/08	CerBir1.0	BGI-Shenzhen	GCA_000611835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/611/835/GCF_000611835.1_CerBir1.0		
GCF_001412515.1	PRJNA306876	SAMN03701895	LDKA00000000.1	representative genome	454923	454923	Diachasma alloeum		Michigan	latest	Scaffold	Major	Full	2015/10/27	Dall1.0	University of Illinois at Urbana-Champaign	GCA_001412515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/515/GCF_001412515.1_Dall1.0		
GCF_001594065.1	PRJNA343963	SAMN03982885	LKEX00000000.1	representative genome	456900	456900	Cyphomyrmex costatus		MS0001	latest	Scaffold	Major	Full	2016/03/25	Ccosl1.0	BGI	GCA_001594065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/065/GCF_001594065.1_Ccosl1.0		
GCF_001594075.1	PRJNA343972	SAMN03982882	LKEY00000000.1	representative genome	471704	471704	Trachymyrmex cornetzi		Tcor2-1	latest	Scaffold	Major	Full	2016/03/25	Tcor1.0	BGI	GCA_001594075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/075/GCF_001594075.1_Tcor1.0		
GCF_001483705.1	PRJNA339561	SAMN03801430	LLKC00000000.1	representative genome	516756	516756	Eufriesea mexicana		0111107269	latest	Scaffold	Major	Full	2016/05/09	ASM148370v1	BGI	GCA_001483705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/705/GCF_001483705.1_ASM148370v1		
GCF_001594045.1	PRJNA343260	SAMN03982875	LKEW00000000.1	representative genome	520822	520822	Atta colombica		Treedump-2	latest	Scaffold	Major	Full	2016/03/25	Acol1.0	BGI	GCA_001594045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/045/GCF_001594045.1_Acol1.0		
GCF_001263275.1	PRJNA339959	SAMN03462987	LHQN00000000.1	representative genome	597456	597456	Habropoda laboriosa		0110345459	latest	Scaffold	Major	Full	2015/08/13	ASM126327v1	BGI	GCA_001263275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/275/GCF_001263275.1_ASM126327v1		
GCF_001313825.1	PRJNA301625	SAMN02869781	JPHR00000000.1	representative genome	609295	609295	Dinoponera quadriceps		SergipeBrazil2010	latest	Scaffold	Major	Full	2015/10/13	ASM131382v1	CRG-Centre for Genomic Regulation	GCA_001313825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/313/825/GCF_001313825.1_ASM131382v1		
GCF_000147195.1	PRJNA273397	SAMN00016742	AEAC00000000.1	representative genome	610380	610380	Harpegnathos saltator	strain=R22 G/1		latest	Scaffold	Major	Full	2010/09/17	HarSal_1.0	BGI-Shenzhen, Shenzhen 518083, China	GCA_000147195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/195/GCF_000147195.1_HarSal_1.0		
GCF_001186105.1	PRJNA292025	SAMN03009087	LACK00000000.1	representative genome	680683	680683	Amyelois transitella	strain=UIUC subculture of SPIRL-1966		latest	Scaffold	Major	Full	2015/07/22	ASM118610v1	University of Illinois at Urbana-Champaign	GCA_001186105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/105/GCF_001186105.1_ASM118610v1		
GCF_000388065.1	PRJNA262900	SAMN02741864	AROH00000000.1	representative genome	691883	691883	Fonticula alba	strain=ATCC 38817		latest	Scaffold	Major	Full	2014/04/24	Font_alba_ATCC_38817_V2	Broad Institute	GCA_000388065.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/065/GCF_000388065.1_Font_alba_ATCC_38817_V2		
GCF_001465965.1	PRJNA307991	SAMN02584905	LMBU00000000.1	representative genome	743375	743375	Polistes dominula		PdomPennStateAug2009	latest	Scaffold	Major	Full	2015/12/14	Pdom r1.2	Toth lab	GCA_001465965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/465/965/GCF_001465965.1_Pdom_r1.2		
GCF_000188695.1	PRJNA193541	SAMN00013333	ACSY00000000.1	representative genome	946362	946362	Salpingoeca rosetta	strain=ATCC 50818		latest	Scaffold	Major	Full	2011/02/10	Proterospongia_sp_ATCC50818	Broad Institute	GCA_000188695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/695/GCF_000188695.1_Proterospongia_sp_ATCC50818		
GCF_000236305.1	PRJNA325511	SAMN00715129	AFPP00000000.2	representative genome	1041015	1041015	Drosophila rhopaloa			latest	Scaffold	Major	Full	2013/02/22	Drho_2.0	The modENCODE Project	GCA_000236305.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/305/GCF_000236305.1_Drho_2.0		
